from_str|to_char|rel_frequency
 y|o|0.8707077066018416
 y|e|0.12028243990423461
 y|a|0.004541001015932049
 y| |0.0014854340262909402
 y|Ã|0.0004185200452308581
 y|u|0.0016514504457244984
 y|i|0.0005445117462306697
 y|Î|0.00017616078348825273
 y|v|0.0001316166208121903
 y|m|1.1022241713273842e-05
 y|h|1.2712969055722927e-05
 y|r|1.2908052979851667e-05
 y|s|1.3233192853399567e-05
 y|g|6.405255508893649e-06
 y|n|4.877098103218514e-06
yo|u|0.9786067515950899
yo|n|0.015000565728999122
yo|r|0.002846799670135065
yo| |0.0019320241306799147
yo|g|0.0002774180972030615
yo|o|0.00022992253455393874
yo|t|0.00021785609431335077
yo|k|0.00018774500787711155
yo|m|6.87310304281514e-05
yo|f|9.05166398594865e-05
yo|d|0.00010368336340468731
yo|l|5.629782908602583e-05
yo|s|0.0002562193055341866
yo|w|2.633344709040166e-05
yo|z|1.2543229672586864e-05
yo|y|1.1552974698435269e-05
yo|i|2.8387309259012375e-05
yo|Ã|9.242379758748215e-06
yo|v|1.3606836867045983e-05
yo|p|1.3386780206123407e-05
yo|c|5.758149294140753e-06
yo|h|4.65786598952787e-06
ou| |0.5437971605142418
ou|r|0.1444940657367908
ou|t|0.10962815899592085
ou|l|0.07530210127966143
ou|g|0.037443038849063005
ou|n|0.04172203517896756
ou|s|0.02994060141250727
ou|b|0.005171002599224844
ou|p|0.004796149650983011
ou|c|0.003678175213339613
ou|d|0.002638707167828963
ou|i|0.000958188002042951
ou|v|0.00014927067923489287
ou|q|6.427635484908538e-05
ou|f|5.294056243667633e-05
ou|x|2.7447088862386182e-05
ou|y|2.1827430070702544e-05
ou|e|4.4088996872093095e-05
ou|k|2.1827430070702544e-05
ou|a|2.3226315091808342e-05
ou|z|1.0178094463907706e-05
ou|m|8.562141077457903e-06
ou|j|6.970306398268547e-06
 i| |0.414158243250598
 i|t|0.22350237528152206
 i|s|0.12812124950433978
 i|n|0.16572107741629497
 i|f|0.04251097190870003
 i|d|0.007629513099684074
 i|m|0.010756021137802612
 i|c|0.0013068739325487432
 i|l|0.001430901725804654
 i|r|0.001815860608683708
 i|g|0.0007616036325090904
 i|a|0.00029387662012859956
 i|i|0.0006167179388828272
 i|v|0.0004334130709163429
 i|o|0.0003737835267164098
 i|e|0.00015606104978890706
 i|k|8.900891281304344e-05
 i|z|7.287825029998782e-05
 i|q|3.5267682435356834e-05
 i|p|8.506954793196302e-05
 i|b|7.055609837008778e-05
 i|j|1.1507092152629655e-05
 i|w|2.0837166870978025e-05
 i|x|5.1211743454045495e-06
 i|Ã|4.478435864807217e-06
 i|h|7.298191779685836e-06
 i|y|9.433742215218908e-06
 t|h|0.6205432289364624
 t|o|0.2338555928101501
 t|i|0.02513108658786645
 t|a|0.03818656684823655
 t|e|0.03020685987004976
 t|w|0.010008412236031633
 t|r|0.03208255751552189
 t|u|0.006592453990461021
 t| |0.0009826039383455
 t|v|0.0008055072103334413
 t|y|0.0012807827743274642
 t|Î|4.592915941335096e-05
 t|s|0.00015988213392334645
 t|j|1.307007800983563e-05
 t|l|2.2405848016861078e-05
 t|b|1.3183238858405635e-05
 t|t|9.53380149202296e-06
 t|c|1.7497496210137092e-05
 t|z|1.2546709085199354e-05
 t|n|8.91141682488793e-06
 t|k|3.974774806021442e-06
 t|p|3.2675195024589075e-06
 t|m|8.260741945610399e-06
 t|g|2.447103350326368e-06
 t|Ã|1.8954442135475914e-06
 t|d|1.5418165617663243e-06
th|e|0.5239662131562902
th|a|0.17066788471676297
th|i|0.17432772751947287
